facility_name,state,measure_name,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,heart_failure,heart_attack,copd,pneumonia,cabg,hip_knee_replacement
UCHEALTH HIGHLANDS RANCH HOSPITAL,CO,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
UCHEALTH HIGHLANDS RANCH HOSPITAL,CO,READM-30-AMI-HRRP,0.9438,12.2146,12.9418,Too Few to Report,0,1,0,0,0,0
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ST FRANCIS HOSPITAL - INTERQUEST,CO,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-PN-HRRP,1.0736,17.4264,16.2324,66,0,0,0,1,0,0
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-HF-HRRP,0.8969,17.8906,19.9462,169,1,0,0,0,0,0
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-COPD-HRRP,0.9304,18.1683,19.5267,25,0,0,1,0,0,0
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-CABG-HRRP,1.0322,12.5500,12.1587,16,0,0,0,0,1,0
ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,READM-30-AMI-HRRP,1.0365,13.2156,12.7506,42,0,1,0,0,0,0
DAY KIMBALL HOSPITAL,CT,READM-30-PN-HRRP,1.0174,15.5796,15.3134,20,0,0,0,1,0,0
DAY KIMBALL HOSPITAL,CT,READM-30-HF-HRRP,1.2269,22.8908,18.6578,51,1,0,0,0,0,0
DAY KIMBALL HOSPITAL,CT,READM-30-COPD-HRRP,1.0292,16.4387,15.9729,18,0,0,1,0,0,0
DAY KIMBALL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
DAY KIMBALL HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
SHARON HOSPITAL,CT,READM-30-PN-HRRP,0.9555,13.5012,14.1302,17,0,0,0,1,0,0
SHARON HOSPITAL,CT,READM-30-HF-HRRP,0.9939,17.7037,17.8123,21,1,0,0,0,0,0
SHARON HOSPITAL,CT,READM-30-COPD-HRRP,1.0593,16.8273,15.8853,11,0,0,1,0,0,0
SHARON HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SHARON HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
WATERBURY HOSPITAL,CT,READM-30-PN-HRRP,1.0394,17.7065,17.0360,54,0,0,0,1,0,0
WATERBURY HOSPITAL,CT,READM-30-HF-HRRP,1.1101,22.7689,20.5105,100,1,0,0,0,0,0
WATERBURY HOSPITAL,CT,READM-30-COPD-HRRP,0.9246,17.8939,19.3531,15,0,0,1,0,0,0
WATERBURY HOSPITAL,CT,READM-30-CABG-HRRP,0.9457,11.3119,11.9616,Too Few to Report,0,0,0,0,1,0
WATERBURY HOSPITAL,CT,READM-30-AMI-HRRP,1.0050,15.2106,15.1346,15,0,1,0,0,0,0
STAMFORD HOSPITAL,CT,READM-30-PN-HRRP,0.9559,14.7773,15.4595,66,0,0,0,1,0,0
STAMFORD HOSPITAL,CT,READM-30-HF-HRRP,0.9836,17.9094,18.2075,97,1,0,0,0,0,0
STAMFORD HOSPITAL,CT,READM-30-COPD-HRRP,1.0801,22.2058,20.5591,23,0,0,1,0,0,0
STAMFORD HOSPITAL,CT,READM-30-CABG-HRRP,0.9936,8.0060,8.0579,Too Few to Report,0,0,0,0,1,0
STAMFORD HOSPITAL,CT,READM-30-AMI-HRRP,0.9443,11.8764,12.5763,15,0,1,0,0,0,0
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,1.0556,17.5768,16.6508,83,0,0,0,1,0,0
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-HF-HRRP,0.9410,18.9598,20.1483,89,1,0,0,0,0,0
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,0.9446,18.0825,19.1426,16,0,0,1,0,0,0
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
LAWRENCE & MEMORIAL HOSPITAL,CT,READM-30-AMI-HRRP,1.0555,15.4159,14.6049,21,0,1,0,0,0,0
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,0.9703,13.4660,13.8778,Too Few to Report,0,0,0,1,0,0
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-HF-HRRP,0.9659,17.7086,18.3338,Too Few to Report,1,0,0,0,0,0
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,0.9803,16.7522,17.0889,Too Few to Report,0,0,1,0,0,0
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
JOHNSON MEMORIAL HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
BRIDGEPORT HOSPITAL,CT,READM-30-PN-HRRP,1.1091,17.9154,16.1531,135,0,0,0,1,0,0
BRIDGEPORT HOSPITAL,CT,READM-30-HF-HRRP,1.0005,19.6285,19.6177,150,1,0,0,0,0,0
BRIDGEPORT HOSPITAL,CT,READM-30-COPD-HRRP,0.9921,18.9529,19.1035,23,0,0,1,0,0,0
BRIDGEPORT HOSPITAL,CT,READM-30-CABG-HRRP,1.0086,10.4054,10.3171,Too Few to Report,0,0,0,0,1,0
BRIDGEPORT HOSPITAL,CT,READM-30-AMI-HRRP,0.9318,12.4902,13.4044,17,0,1,0,0,0,0
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-PN-HRRP,1.1858,19.1999,16.1915,79,0,0,0,1,0,0
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-HF-HRRP,1.0248,20.1837,19.6955,53,1,0,0,0,0,0
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-COPD-HRRP,1.1357,22.7717,20.0509,40,0,0,1,0,0,0
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
CHARLOTTE HUNGERFORD HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ROCKVILLE GENERAL HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
SAINT MARY'S HOSPITAL,CT,READM-30-PN-HRRP,0.9092,14.8015,16.2790,33,0,0,0,1,0,0
SAINT MARY'S HOSPITAL,CT,READM-30-HF-HRRP,0.9871,18.6394,18.8826,58,1,0,0,0,0,0
SAINT MARY'S HOSPITAL,CT,READM-30-COPD-HRRP,0.8979,18.3076,20.3887,17,0,0,1,0,0,0
SAINT MARY'S HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SAINT MARY'S HOSPITAL,CT,READM-30-AMI-HRRP,0.9735,12.1880,12.5200,Too Few to Report,0,1,0,0,0,0
MIDSTATE MEDICAL CENTER,CT,READM-30-PN-HRRP,0.9780,15.1448,15.4862,55,0,0,0,1,0,0
MIDSTATE MEDICAL CENTER,CT,READM-30-HF-HRRP,0.9554,18.3042,19.1585,64,1,0,0,0,0,0
MIDSTATE MEDICAL CENTER,CT,READM-30-COPD-HRRP,1.0848,20.9803,19.3397,31,0,0,1,0,0,0
MIDSTATE MEDICAL CENTER,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MIDSTATE MEDICAL CENTER,CT,READM-30-AMI-HRRP,1.0147,17.0459,16.7997,Too Few to Report,0,1,0,0,0,0
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-PN-HRRP,0.9837,15.5068,15.7630,80,0,0,0,1,0,0
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-HF-HRRP,1.1283,21.2608,18.8435,107,1,0,0,0,0,0
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-COPD-HRRP,1.0424,17.7179,16.9974,16,0,0,1,0,0,0
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
GREENWICH HOSPITAL ASSOCIATION -,CT,READM-30-AMI-HRRP,1.0649,16.9843,15.9485,12,0,1,0,0,0,0
MIDDLESEX HOSPITAL,CT,READM-30-PN-HRRP,1.1385,16.3599,14.3694,106,0,0,0,1,0,0
MIDDLESEX HOSPITAL,CT,READM-30-HF-HRRP,1.0602,18.4736,17.4240,89,1,0,0,0,0,0
MIDDLESEX HOSPITAL,CT,READM-30-COPD-HRRP,1.0744,18.7250,17.4285,40,0,0,1,0,0,0
MIDDLESEX HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MIDDLESEX HOSPITAL,CT,READM-30-AMI-HRRP,0.9216,14.0782,15.2764,Too Few to Report,0,1,0,0,0,0
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,1.0165,14.8750,14.6335,17,0,0,0,1,0,0
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-HF-HRRP,0.9520,17.9512,18.8569,21,1,0,0,0,0,0
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,1.0573,17.5838,16.6304,13,0,0,1,0,0,0
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
WINDHAM COMMUNITY MEMORIAL HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
YALE-NEW HAVEN HOSPITAL,CT,READM-30-PN-HRRP,0.9828,17.4527,17.7587,229,0,0,0,1,0,0
YALE-NEW HAVEN HOSPITAL,CT,READM-30-HF-HRRP,1.0159,20.2309,19.9139,306,1,0,0,0,0,0
YALE-NEW HAVEN HOSPITAL,CT,READM-30-COPD-HRRP,0.9684,18.1140,18.7045,29,0,0,1,0,0,0
YALE-NEW HAVEN HOSPITAL,CT,READM-30-CABG-HRRP,0.9495,10.9020,11.4819,18,0,0,0,0,1,0
YALE-NEW HAVEN HOSPITAL,CT,READM-30-AMI-HRRP,0.9100,13.3605,14.6820,66,0,1,0,0,0,0
WILLIAM W BACKUS HOSPITAL,CT,READM-30-PN-HRRP,0.9019,15.2275,16.8839,62,0,0,0,1,0,0
WILLIAM W BACKUS HOSPITAL,CT,READM-30-HF-HRRP,1.0363,20.4197,19.7047,84,1,0,0,0,0,0
WILLIAM W BACKUS HOSPITAL,CT,READM-30-COPD-HRRP,1.0560,19.2663,18.2443,50,0,0,1,0,0,0
WILLIAM W BACKUS HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
WILLIAM W BACKUS HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
HARTFORD HOSPITAL,CT,READM-30-AMI-HRRP,1.0223,13.9759,13.6703,94,0,1,0,0,0,0
HARTFORD HOSPITAL,CT,READM-30-PN-HRRP,1.0468,16.4774,15.7407,99,0,0,0,1,0,0
HARTFORD HOSPITAL,CT,READM-30-HF-HRRP,1.1611,23.0580,19.8594,314,1,0,0,0,0,0
HARTFORD HOSPITAL,CT,READM-30-COPD-HRRP,0.9567,16.8863,17.6504,25,0,0,1,0,0,0
HARTFORD HOSPITAL,CT,READM-30-CABG-HRRP,0.9757,11.5757,11.8639,28,0,0,0,0,1,0
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-PN-HRRP,0.9532,14.6286,15.3462,41,0,0,0,1,0,0
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-HF-HRRP,1.0104,18.0926,17.9068,34,1,0,0,0,0,0
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-COPD-HRRP,1.0396,18.5407,17.8344,15,0,0,1,0,0,0
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MANCHESTER MEMORIAL HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
ST VINCENT'S MEDICAL CENTER,CT,READM-30-PN-HRRP,1.0449,16.2834,15.5829,51,0,0,0,1,0,0
ST VINCENT'S MEDICAL CENTER,CT,READM-30-HF-HRRP,1.0015,19.2888,19.2590,79,1,0,0,0,0,0
ST VINCENT'S MEDICAL CENTER,CT,READM-30-COPD-HRRP,0.9566,16.9478,17.7174,12,0,0,1,0,0,0
ST VINCENT'S MEDICAL CENTER,CT,READM-30-CABG-HRRP,1.0257,10.8896,10.6168,Too Few to Report,0,0,0,0,1,0
ST VINCENT'S MEDICAL CENTER,CT,READM-30-AMI-HRRP,1.0543,14.1567,13.4272,31,0,1,0,0,0,0
BRISTOL HOSPITAL,CT,READM-30-PN-HRRP,1.0681,17.2544,16.1541,34,0,0,0,1,0,0
BRISTOL HOSPITAL,CT,READM-30-HF-HRRP,0.9858,17.5179,17.7705,26,1,0,0,0,0,0
BRISTOL HOSPITAL,CT,READM-30-COPD-HRRP,1.0446,19.3874,18.5589,19,0,0,1,0,0,0
BRISTOL HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
BRISTOL HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
GRIFFIN HOSPITAL,CT,READM-30-PN-HRRP,1.0046,14.6070,14.5399,19,0,0,0,1,0,0
GRIFFIN HOSPITAL,CT,READM-30-HF-HRRP,0.9319,17.5954,18.8814,34,1,0,0,0,0,0
GRIFFIN HOSPITAL,CT,READM-30-COPD-HRRP,0.9292,15.9317,17.1459,12,0,0,1,0,0,0
GRIFFIN HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
GRIFFIN HOSPITAL,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
DANBURY HOSPITAL,CT,READM-30-PN-HRRP,1.0464,16.3100,15.5865,143,0,0,0,1,0,0
DANBURY HOSPITAL,CT,READM-30-HF-HRRP,1.0100,19.3853,19.1939,193,1,0,0,0,0,0
DANBURY HOSPITAL,CT,READM-30-COPD-HRRP,1.0120,17.9723,17.7600,48,0,0,1,0,0,0
DANBURY HOSPITAL,CT,READM-30-CABG-HRRP,1.0167,11.1183,10.9358,Too Few to Report,0,0,0,0,1,0
DANBURY HOSPITAL,CT,READM-30-AMI-HRRP,1.0572,13.0202,12.3157,43,0,1,0,0,0,0
NORWALK HOSPITAL,CT,READM-30-PN-HRRP,1.0101,15.6489,15.4926,70,0,0,0,1,0,0
NORWALK HOSPITAL,CT,READM-30-HF-HRRP,1.0671,20.5125,19.2230,101,1,0,0,0,0,0
NORWALK HOSPITAL,CT,READM-30-COPD-HRRP,1.0001,17.0409,17.0398,15,0,0,1,0,0,0
NORWALK HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
NORWALK HOSPITAL,CT,READM-30-AMI-HRRP,0.9670,12.1334,12.5472,Too Few to Report,0,1,0,0,0,0
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-PN-HRRP,0.9675,15.5565,16.0795,53,0,0,0,1,0,0
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-HF-HRRP,1.0020,19.8021,19.7635,94,1,0,0,0,0,0
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-COPD-HRRP,1.0078,18.3656,18.2243,26,0,0,1,0,0,0
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
THE HOSPITAL OF CENTRAL CONNECTICUT,CT,READM-30-AMI-HRRP,0.9965,17.3922,17.4526,Too Few to Report,0,1,0,0,0,0
JOHN DEMPSEY HOSPITAL,CT,READM-30-PN-HRRP,0.9660,14.0851,14.5811,38,0,0,0,1,0,0
JOHN DEMPSEY HOSPITAL,CT,READM-30-HF-HRRP,1.0506,18.5187,17.6272,66,1,0,0,0,0,0
JOHN DEMPSEY HOSPITAL,CT,READM-30-COPD-HRRP,1.0618,19.2063,18.0881,21,0,0,1,0,0,0
JOHN DEMPSEY HOSPITAL,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
JOHN DEMPSEY HOSPITAL,CT,READM-30-AMI-HRRP,0.9772,12.1851,12.4691,Too Few to Report,0,1,0,0,0,0
THE CONNECTICUT HOSPICE INC.,CT,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
THE CONNECTICUT HOSPICE INC.,CT,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
THE CONNECTICUT HOSPICE INC.,CT,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
THE CONNECTICUT HOSPICE INC.,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
THE CONNECTICUT HOSPICE INC.,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
HEBREW HOME AND HOSPITAL INC,CT,READM-30-PN-HRRP,N/A,N/A,N/A,N/A,0,0,0,1,0,0
HEBREW HOME AND HOSPITAL INC,CT,READM-30-HF-HRRP,N/A,N/A,N/A,N/A,1,0,0,0,0,0
HEBREW HOME AND HOSPITAL INC,CT,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A,0,0,1,0,0,0
HEBREW HOME AND HOSPITAL INC,CT,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HEBREW HOME AND HOSPITAL INC,CT,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
CHRISTIANA HOSPITAL,DE,READM-30-PN-HRRP,0.9251,14.3694,15.5336,223,0,0,0,1,0,0
CHRISTIANA HOSPITAL,DE,READM-30-HF-HRRP,0.9336,17.3841,18.6197,449,1,0,0,0,0,0
CHRISTIANA HOSPITAL,DE,READM-30-COPD-HRRP,0.9977,18.9238,18.9676,138,0,0,1,0,0,0
CHRISTIANA HOSPITAL,DE,READM-30-CABG-HRRP,0.8298,8.3985,10.1208,26,0,0,0,0,1,0
CHRISTIANA HOSPITAL,DE,READM-30-AMI-HRRP,0.9280,11.6929,12.5996,67,0,1,0,0,0,0
ST FRANCIS HOSPITAL,DE,READM-30-PN-HRRP,0.9288,14.7893,15.9235,Too Few to Report,0,0,0,1,0,0
ST FRANCIS HOSPITAL,DE,READM-30-HF-HRRP,0.9786,19.5371,19.9649,27,1,0,0,0,0,0
ST FRANCIS HOSPITAL,DE,READM-30-COPD-HRRP,0.9727,22.6186,23.2542,Too Few to Report,0,0,1,0,0,0
ST FRANCIS HOSPITAL,DE,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
ST FRANCIS HOSPITAL,DE,READM-30-AMI-HRRP,1.0101,10.5807,10.4753,Too Few to Report,0,1,0,0,0,0
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-PN-HRRP,1.0798,17.5051,16.2118,139,0,0,0,1,0,0
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-HF-HRRP,1.0615,21.0997,19.8775,149,1,0,0,0,0,0
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-COPD-HRRP,0.9891,17.5932,17.7874,50,0,0,1,0,0,0
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-CABG-HRRP,0.9277,10.2065,11.0019,Too Few to Report,0,0,0,0,1,0
"BAYHEALTH MEDICAL CENTER, KENT CAMPUS",DE,READM-30-AMI-HRRP,0.9708,12.0865,12.4502,31,0,1,0,0,0,0
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-PN-HRRP,0.8885,14.7028,16.5474,44,0,0,0,1,0,0
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-HF-HRRP,0.9075,18.3459,20.2158,42,1,0,0,0,0,0
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-COPD-HRRP,0.9356,17.8867,19.1185,22,0,0,1,0,0,0
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
"TIDALHEALTH NANTICOKE, INC.",DE,READM-30-AMI-HRRP,0.9461,14.4234,15.2451,12,0,1,0,0,0,0
BEEBE MEDICAL CENTER,DE,READM-30-PN-HRRP,1.0635,15.6966,14.7590,111,0,0,0,1,0,0
BEEBE MEDICAL CENTER,DE,READM-30-HF-HRRP,1.0053,18.3897,18.2932,137,1,0,0,0,0,0
BEEBE MEDICAL CENTER,DE,READM-30-COPD-HRRP,0.9326,15.1036,16.1945,30,0,0,1,0,0,0
BEEBE MEDICAL CENTER,DE,READM-30-CABG-HRRP,1.0844,9.9919,9.2146,14,0,0,0,0,1,0
BEEBE MEDICAL CENTER,DE,READM-30-AMI-HRRP,0.9004,9.9955,11.1007,26,0,1,0,0,0,0
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-PN-HRRP,0.9598,14.9492,15.5761,43,0,0,0,1,0,0
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-HF-HRRP,0.8808,16.8253,19.1028,53,1,0,0,0,0,0
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-COPD-HRRP,0.9964,18.2765,18.3423,25,0,0,1,0,0,0
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",DE,READM-30-AMI-HRRP,0.9674,11.7281,12.1232,Too Few to Report,0,1,0,0,0,0
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-PN-HRRP,0.9755,16.6884,17.1067,28,0,0,0,1,0,0
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-HF-HRRP,0.9753,19.8410,20.3432,76,1,0,0,0,0,0
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-COPD-HRRP,1.0249,21.4388,20.9189,19,0,0,1,0,0,0
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-CABG-HRRP,1.0982,12.6626,11.5301,11,0,0,0,0,1,0
GEORGE WASHINGTON UNIV HOSPITAL,DC,READM-30-AMI-HRRP,0.9783,13.2790,13.5733,21,0,1,0,0,0,0
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-PN-HRRP,0.9800,17.4994,17.8560,21,0,0,0,1,0,0
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-HF-HRRP,1.1735,26.2342,22.3557,54,1,0,0,0,0,0
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-COPD-HRRP,1.1125,24.7846,22.2784,27,0,0,1,0,0,0
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
HOWARD UNIVERSITY HOSPITAL CORP,DC,READM-30-AMI-HRRP,1.0108,18.7483,18.5472,Too Few to Report,0,1,0,0,0,0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-PN-HRRP,1.0564,18.0597,17.0958,41,0,0,0,1,0,0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-HF-HRRP,1.0144,21.9348,21.6243,46,1,0,0,0,0,0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-COPD-HRRP,1.0272,21.5440,20.9727,11,0,0,1,0,0,0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-PN-HRRP,0.9398,13.6226,14.4958,47,0,0,0,1,0,0
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-HF-HRRP,0.9581,17.0988,17.8475,54,1,0,0,0,0,0
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-COPD-HRRP,0.9818,17.2845,17.6053,Too Few to Report,0,0,1,0,0,0
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
SIBLEY MEMORIAL HOSPITAL,DC,READM-30-AMI-HRRP,1.0298,14.9598,14.5265,Too Few to Report,0,1,0,0,0,0
UNITED MEDICAL CENTER,DC,READM-30-PN-HRRP,0.9814,18.5981,18.9501,13,0,0,0,1,0,0
UNITED MEDICAL CENTER,DC,READM-30-HF-HRRP,1.0083,21.5133,21.3357,29,1,0,0,0,0,0
UNITED MEDICAL CENTER,DC,READM-30-COPD-HRRP,0.9555,18.0609,18.9016,Too Few to Report,0,0,1,0,0,0
UNITED MEDICAL CENTER,DC,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A,0,0,0,0,1,0
UNITED MEDICAL CENTER,DC,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A,0,1,0,0,0,0
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-PN-HRRP,1.0956,19.8367,18.1051,85,0,0,0,1,0,0
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-HF-HRRP,0.9064,18.9118,20.8648,248,1,0,0,0,0,0
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-COPD-HRRP,1.0391,21.8752,21.0514,41,0,0,1,0,0,0
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-CABG-HRRP,0.8818,10.4116,11.8072,51,0,0,0,0,1,0
MEDSTAR WASHINGTON HOSPITAL CENTER,DC,READM-30-AMI-HRRP,1.0430,15.7421,15.0934,128,0,1,0,0,0,0
SHANDS JACKSONVILLE,FL,READM-30-PN-HRRP,1.0077,18.9435,18.7994,46,0,0,0,1,0,0
SHANDS JACKSONVILLE,FL,READM-30-HF-HRRP,0.9639,20.3806,21.1444,85,1,0,0,0,0,0
SHANDS JACKSONVILLE,FL,READM-30-COPD-HRRP,1.1418,24.4220,21.3887,38,0,0,1,0,0,0
